Date,HYG,IEF,SPY,^VIX
2010-01-04,35.096378326416016,62.1596565246582,85.0279541015625,20.040000915527344
2010-01-05,35.26292037963867,62.432594299316406,85.25302124023438,19.350000381469727
2010-01-06,35.354095458984375,62.180686950683594,85.3130874633789,19.15999984741211
2010-01-07,35.49681854248047,62.180686950683594,85.67318725585938,19.059999465942383
2010-01-08,35.55230712890625,62.25761032104492,85.95829010009766,18.1299991607666
2010-01-11,35.520591735839844,62.29961013793945,86.07833862304688,17.549999237060547
2010-01-12,35.338218688964844,62.74754333496094,85.27555084228516,18.25
2010-01-13,35.417503356933594,62.44659423828125,85.99579620361328,17.850000381469727
2010-01-14,35.45713806152344,62.740501403808594,86.22838592529297,17.6299991607666
2010-01-15,35.314456939697266,63.02048873901367,85.26055145263672,17.90999984741211
2010-01-19,35.330299377441406,62.90849304199219,86.32589721679688,17.579999923706055
2010-01-20,35.278751373291016,63.12546920776367,85.44812774658203,18.68000030517578
2010-01-21,34.727718353271484,63.35639190673828,83.80501556396484,22.270000457763672
2010-01-22,34.398677825927734,63.41232681274414,81.93681335449219,27.309999465942383
2010-01-25,34.450225830078125,63.272377014160156,82.35697174072266,25.40999984741211
2010-01-26,34.49380874633789,63.39840316772461,82.01187133789062,24.549999237060547
2010-01-27,34.505714416503906,63.25143814086914,82.40203857421875,23.139999389648438
2010-01-28,34.3590202331543,63.23038864135742,81.45667266845703,23.729999542236328
2010-01-29,34.18461227416992,63.475372314453125,80.57135772705078,24.6200008392334
2010-02-01,34.34959030151367,63.257686614990234,81.82428741455078,22.59000015258789
2010-02-02,34.453460693359375,63.363075256347656,82.81466674804688,21.479999542236328
2010-02-03,34.629241943359375,63.061058044433594,82.40203857421875,21.600000381469727
2010-02-04,34.13785934448242,63.58070755004883,79.85860443115234,26.079999923706055
2010-02-05,33.93809127807617,63.78428649902344,80.02366638183594,26.110000610351562
2010-02-08,33.79026794433594,63.728126525878906,79.44593811035156,26.510000228881836
2010-02-09,33.858211517333984,63.384124755859375,80.4438247680664,26.0
2010-02-10,33.40276336669922,63.208499908447266,80.2862777709961,25.399999618530273
2010-02-11,33.53858947753906,63.13128662109375,81.12657165527344,23.959999084472656
2010-02-12,33.518619537353516,63.278751373291016,81.05904388427734,22.729999542236328
2010-02-16,33.850223541259766,63.41914749145508,82.3344955444336,22.25
2010-02-17,34.10987091064453,63.08213424682617,82.72460174560547,21.719999313354492
2010-02-18,34.43349838256836,62.85744857788086,83.21228790283203,20.6299991607666
2010-02-19,34.66520690917969,62.89257049560547,83.38484954833984,20.020000457763672
2010-02-22,34.70914077758789,62.84341812133789,83.39986419677734,19.940000534057617
2010-02-23,34.45745849609375,63.3209228515625,82.38699340820312,21.3700008392334
2010-02-24,34.58928680419922,63.35597610473633,83.14479064941406,20.270000457763672
2010-02-25,34.593292236328125,63.58769226074219,83.0322494506836,20.100000381469727
2010-02-26,34.82497787475586,63.686012268066406,83.08477020263672,19.5
2010-03-01,34.85158157348633,63.752174377441406,83.94758605957031,19.260000228881836
2010-03-02,35.07697677612305,63.78744125366211,84.1801528930664,19.059999465942383
2010-03-03,35.11318588256836,63.724063873291016,84.25518798828125,18.829999923706055
2010-03-04,35.1413688659668,63.83664321899414,84.5102767944336,18.719999313354492
2010-03-05,35.35066223144531,63.53395080566406,85.71820068359375,17.420000076293945
2010-03-08,35.35869216918945,63.36494064331055,85.73320007324219,17.790000915527344
2010-03-09,35.51167678833008,63.52685546875,85.87576293945312,17.920000076293945
2010-03-10,35.52370834350586,63.4212532043457,86.25841522216797,18.56999969482422
2010-03-11,35.49152755737305,63.36494064331055,86.61852264404297,18.059999465942383
2010-03-12,35.49958038330078,63.463470458984375,86.62602233886719,17.579999923706055
2010-03-15,35.45932388305664,63.463470458984375,86.6485366821289,18.0
2010-03-16,35.5800666809082,63.70993423461914,87.33879089355469,17.690000534057617
2010-03-17,35.5800666809082,63.78744125366211,87.85645294189453,16.90999984741211
2010-03-18,35.632381439208984,63.618412017822266,87.81147003173828,16.6200008392334
2010-03-19,35.455318450927734,63.53395080566406,87.36695861816406,16.969999313354492
2010-03-22,35.62434768676758,63.74517822265625,87.83406829833984,16.8700008392334
2010-03-23,35.620323181152344,63.61137008666992,88.45182800292969,16.350000381469727
2010-03-24,35.600215911865234,62.97769546508789,88.02239227294922,17.549999237060547
2010-03-25,35.684722900390625,62.745391845703125,87.87925720214844,18.399999618530273
2010-03-26,35.67264175415039,62.89324951171875,87.82649993896484,17.770000457763672
2010-03-29,35.716915130615234,62.80168151855469,88.38400268554688,17.59000015258789
2010-03-30,35.68069839477539,62.865089416503906,88.44427490234375,17.1299991607666
2010-03-31,35.568031311035156,63.012901306152344,88.14292907714844,17.59000015258789
2010-04-01,35.48204803466797,62.88229751586914,88.7456283569336,17.469999313354492
2010-04-05,35.46582794189453,62.3174934387207,89.46885681152344,17.020000457763672
2010-04-06,35.696964263916016,62.50101089477539,89.6797866821289,16.229999542236328
2010-04-07,35.74968719482422,62.889320373535156,89.16748046875,16.6200008392334
2010-04-08,35.81052780151367,62.818748474121094,89.47637939453125,16.479999542236328
2010-04-09,35.86320877075195,62.889320373535156,90.06401062011719,16.139999389648438
2010-04-12,35.87133026123047,63.05881881713867,90.20712280273438,15.579999923706055
2010-04-13,35.968666076660156,63.1788215637207,90.27496337890625,16.200000762939453
2010-04-14,36.06598663330078,63.00938415527344,91.29949951171875,15.59000015258789
2010-04-15,36.16328048706055,63.11530685424805,91.37483978271484,15.890000343322754
2010-04-16,35.87133026123047,63.496559143066406,89.92082977294922,18.360000610351562
2010-04-19,35.80241012573242,63.341224670410156,90.25987243652344,17.34000015258789
2010-04-20,36.18764114379883,63.3694953918457,91.06593322753906,15.729999542236328
2010-04-21,36.191673278808594,63.57423782348633,90.90026092529297,16.31999969482422
2010-04-22,36.08622741699219,63.42597198486328,91.17143249511719,16.469999313354492
2010-04-23,36.32146072387695,63.24943923950195,91.76658630371094,16.6200008392334
2010-04-26,36.32146072387695,63.29184341430664,91.42001342773438,17.469999313354492
2010-04-27,35.86320877075195,63.88492965698242,89.25788116455078,22.809999465942383
2010-04-28,35.88755798339844,63.56011962890625,89.93590545654297,21.079999923706055
2010-04-29,36.1348991394043,63.666053771972656,91.0509033203125,18.440000534057617
2010-04-30,36.25252914428711,64.05437469482422,89.5064926147461,22.049999237060547
2010-05-03,36.24842834472656,63.88652801513672,90.66666412353516,20.190000534057617
2010-05-04,35.876731872558594,64.31851959228516,88.53466796875,23.84000015258789
2010-05-05,35.386627197265625,64.56636810302734,88.00730895996094,24.90999984741211
2010-05-06,34.50849533081055,65.2746353149414,85.08429718017578,32.79999923706055
2010-05-07,34.504425048828125,65.09748840332031,83.81864929199219,40.95000076293945
2010-05-10,35.14973068237305,64.6018295288086,87.51012420654297,28.84000015258789
2010-05-11,35.10890579223633,64.6797103881836,87.2614974975586,28.31999969482422
2010-05-12,35.53774642944336,64.51679229736328,88.48193359375,25.520000457763672
2010-05-13,35.31720733642578,64.69390869140625,87.38204193115234,26.68000030517578
